Name,Type,Icon,Info 1,Caption,Required (Int),Required (Fai),Required (Arc),Slots Used,FP Cost,FP Cost (Continuous),Stamina Cost,Damage Type,Attack Power (Physical),Attack Power (Magic),Attack Power (Fire),Attack Power (Lightning),Attack Power (Holy),Attack Power (Stamina),Enchantment,Obtainable?,Item Type,ID,Icon ID,AtkParam ID
Glintstone Pebble,Sorcery,,Fires magic projectiles from glintstone,"The most basic glintstone sorcery of the Academy of Raya Lucaria. The glintstone serves as a conduit, launching magical projectiles at foes. This sorcery can be cast repeatedly and while in motion. This is a universal first step on the journey to true knowledge of sorcery.",10,0,0,1,7,0,20,Magic,0,152,0,0,0,20,No,Yes,5,4000,6000,40000
Great Glintstone Shard,Sorcery,,Fires larger magic projectiles from glintstone,"One of the glintstone sorceries of the Academy of Raya Lucaria. The glintstone serves as a conduit, launching large magical projectiles at foes. This sorcery can be cast repeatedly and while in motion. Those unworthy of the stone crown typically end their brief journey into sorcery here.",16,0,0,1,12,0,26,Magic,0,202,0,0,0,45,No,Yes,5,4001,6015,40010
Swift Glintstone Shard,Sorcery,,Swiftly fires magic projectiles from glintstone,"One of the glintstone sorceries of the Academy of Raya Lucaria. The glintstone serves as a conduit, launching swift magical projectiles at foes. This sorcery can be used without delay after performing another action. Those unworthy of the stone crown typically end their brief journey into sorcery here.",12,0,0,1,5,25,9,Magic,0,114,0,0,0,17,No,Yes,5,4010,6001,40100
Glintstone Cometshard,Sorcery,,Fires a magic comet with a trailing tail,"One of the glintstone sorceries of the Academy of Raya Lucaria. Fires a magical comet with a trailing tail. This sorcery can be cast repeatedly and while in motion. Charging enhances potency. A sorcery of the Karolos Conspectus, the most venerable of the academy.",36,0,0,1,25,38,30,Magic,0,218,0,0,0,40,No,Yes,5,4020,6002,40200
Comet,Sorcery,,Fires a great magic comet,"One of the glintstone sorceries of the Academy of Raya Lucaria. Fires a great magical comet. This sorcery can be cast repeatedly and while in motion. Charging enhances potency. The greatest of the Karolos Conspectus's sorceries, that only a very few sorcerers have ever mastered.",52,0,0,1,38,16,35,Magic,0,252,0,0,0,50,No,Yes,5,4021,6003,40210
Shard Spiral,Sorcery,,Fires twin spiraling projectiles,"One of the glintstone sorceries of the Academy of Raya Lucaria. Fires twin projectiles that form a spiral as they travel. This sorcery can be cast repeatedly and while in motion. Charging enhances potency. A sorcery of the Karolos Conspectus, the most venerable of the academy. This was the product of a failed attempt to create a new comet.",27,0,0,1,16,14,28,Magic,0,71,0,0,0,20,No,Yes,5,4030,6004,40300
Glintstone Stars,Sorcery,,Fires three shooting stars that pursue foes,"One of the glintstone sorceries of the Academy of Raya Lucaria. Fires three magic shooting stars that pursue the target. This sorcery can be cast while in motion. Charging enhances potency. A sorcery of the Olivinus Conspectus, which attracts sorcerers from Sellia, Town of Sorcery.",12,0,0,1,14,36,21,-,0,0,0,0,0,0,No,Yes,5,4040,6010,0
Star Shower,Sorcery,,Fires six shooting stars that pursue foes,One of the glintstone sorceries of the Academy of Raya Lucaria. Fires six magic shooting stars that pursue the target. This sorcery can be cast while in motion. Charging enhances potency. The most difficult to master of the Olivinus Conspectus sorceries.,24,0,0,1,36,2,26,-,0,0,0,0,0,0,No,Yes,5,4050,6016,0
Crystal Barrage,Sorcery,,Fires a volley of glintstone crystal shards,"One of the glintstone sorceries of the Academy of Raya Lucaria. Fires a volley of glintstone crystal shards. Charging increases potency. A sorcery of the Crystal Cadre, a group of sorcerers who pursue the wisdom of stone—the secrets locked in the faint cogitation of the Crystalians.",23,0,0,1,14,0,26,Magic,0,25,0,0,0,5,No,Yes,5,4060,6009,40600
Glintstone Arc,Sorcery,,Fires a horizontally-widening magic arc,"One of the glintstone sorceries of the Academy of Raya Lucaria. Fires a horizontal arc of magic that spreads outward. This sorcery can be cast repeatedly and while in motion. Granted to sorcerers who depart from the academy to embark on journeys, in order to fend off large groups of would-be adversaries. Fools often roam in packs.",13,0,0,1,10,45,18,Magic,0,148,0,0,0,18,No,Yes,5,4070,6014,40070
