Name,Talisman Name,Icon,Info,Caption,Level,Weight,Sell Price,ID,Icon ID
Crimson Amber Medallion,Crimson Amber Medallion,,Raises maximum HP,"A medallion with crimson amber inlaid. Boosts maximum HP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",0,0.3,100,1000,18000
Crimson Amber Medallion +1,Crimson Amber Medallion,,Greatly raises maximum HP,"A medallion with crimson amber inlaid. Greatly boosts maximum HP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",1,0.3,500,1001,18001
Crimson Amber Medallion +2,Crimson Amber Medallion,,Vastly raises maximum HP,"A medallion with crimson amber inlaid. Vastly boosts maximum HP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",2,0.3,1000,1002,18002
Cerulean Amber Medallion,Cerulean Amber Medallion,,Raises maximum FP,"A medallion with cerulean amber inlaid. Boosts maximum FP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",0,0.3,100,1010,18010
Cerulean Amber Medallion +1,Cerulean Amber Medallion,,Greatly raises maximum FP,"A medallion with cerulean amber inlaid. Greatly boosts maximum FP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",1,0.3,500,1011,18011
Cerulean Amber Medallion +2,Cerulean Amber Medallion,,Vastly raises maximum FP,"A medallion with cerulean amber inlaid. Vastly boosts maximum FP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",2,0.3,1000,1012,18012
Viridian Amber Medallion,Viridian Amber Medallion,,Raises maximum stamina,"A medallion with viridian amber inlaid. Boosts maximum stamina. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",0,0.3,100,1020,18020
Viridian Amber Medallion +1,Viridian Amber Medallion,,Greatly raises maximum stamina,"A medallion with viridian amber inlaid. Greatly boosts maximum stamina. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",1,0.3,500,1021,18021
Viridian Amber Medallion +2,Viridian Amber Medallion,,Vastly raises maximum stamina,"A medallion with viridian amber inlaid. Vastly boosts maximum stamina. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",2,0.3,1000,1022,18022
Arsenal Charm,Arsenal Charm,,Raises maximum equipment load,An iron charm that resembles a mass of weaponry. Boosts maximum equipment load. This talisman was derived from an unusual greatsword once wielded by a hero hungry for vengeance.,0,1.5,100,1030,18030
Arsenal Charm +1,Arsenal Charm,,Greatly raises maximum equip load,An iron charm that resembles a mass of weaponry. Greatly boosts maximum equipment load. This talisman was derived from an unusual greatsword once wielded by a hero hungry for vengeance.,1,1.5,500,1031,18031
Great-Jar's Arsenal,Great-Jar's Arsenal,,Vastly raises maximum equip load,A charm that resembles a great jar overflowing with weaponry. Vastly boosts maximum equipment load. The great jar grants this talisman to their warriors. Carry as much as you can—grow big and strong.,0,1.5,1000,1032,18032
