Name,Weapon Name,Affinity,Weapon Type,Icon,Physical Damage Type,Caption,Passive Effect 1,Passive Effect 2,Hidden Effect,Default Ash of War,Default Ash of War FP Cost,Weight,Sell Price,Upgrade Price,Attack Power (Physical),Attack Power (Magic),Attack Power (Fire),Attack Power (Lightning),Attack Power (Holy),Attack Power (Critical),Attack Power (Stamina),Scaling Value (Str),Scaling Letter (Str),Scaling Value (Dex),Scaling Letter (Dex),Scaling Value (Int),Scaling Letter (Int),Scaling Value (Fai),Scaling Letter (Fai),Scaling Value (Arc),Scaling Letter (Arc),Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Guarded Damage Negation (Physical),Guarded Damage Negation (Magic),Guarded Damage Negation (Fire),Guarded Damage Negation (Lightning),Guarded Damage Negation (Holy),Guarded Damage Negation (Guard Boost),Guard Resistance Reduction,Guard Frost Reduction,Physical Damage (Standard),Physical Damage (Strike),Physical Damage (Slash),Physical Damage (Thrust),Can Enchant,ID,Weapon Group ID,Weapon ID,Imbue Type ID,Weapon Moveset Category,Icon ID,Reinforce Type ID,Behavior Variation ID,,Stamina Usage %,1H Light Stamina Usage
Dagger,Dagger,-,Dagger,,Slash/Thrust,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,74,0,0,0,0,130,30,35,D,65,C,0,-,0,-,0,-,5,9,0,0,0,35.0,20.0,20.0,20.0,20.0,15,10.0,10.0,No,No,Yes,Yes,Yes,1000000,1,00,0000,20,10000,0,100,9,1,9
Heavy Dagger,Dagger,Heavy,Dagger,,Slash/Thrust,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,67,0,0,0,0,130,30,99,B,0,-,0,-,0,-,0,-,5,9,0,0,0,35.0,20.0,20.0,20.0,20.0,15,10.0,10.0,No,No,Yes,Yes,Yes,1000100,1,00,0100,20,10000,100,100,9,1,9
Keen Dagger,Dagger,Keen,Dagger,,Slash/Thrust,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,67,0,0,0,0,130,28,10,E,105,B,0,-,0,-,0,-,5,9,0,0,0,35.0,20.0,20.0,20.0,20.0,15,10.0,15.0,No,No,Yes,Yes,Yes,1000200,1,00,0200,20,10000,5000,100,9,1,9
Quality Dagger,Dagger,Quality,Dagger,,Slash/Thrust,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,63,0,0,0,0,130,30,63,C,63,C,0,-,0,-,0,-,5,9,0,0,0,35.0,20.0,20.0,20.0,20.0,15,10.0,10.0,No,No,Yes,Yes,Yes,1000300,1,00,0300,20,10000,300,100,9,1,9
Fire Dagger,Dagger,Fire,Dagger,,Slash/Thrust,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,56,0,56,0,0,130,30,61,C,5,E,0,-,0,-,0,-,5,9,0,0,0,33.3,19.0,23.0,21.0,19.0,15,9.5,10.0,No,No,Yes,Yes,No,1000400,1,00,0400,20,10000,400,100,9,1,9
Flame Art Dagger,Dagger,Flame Art,Dagger,,Slash/Thrust,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,60,0,60,0,0,130,30,8,E,15,E,0,-,55,D,0,-,5,9,0,0,0,33.3,19.0,23.0,21.0,19.0,15,9.5,10.0,No,No,Yes,Yes,No,1000500,1,00,0500,20,10000,500,100,9,1,9
Lightning Dagger,Dagger,Lightning,Dagger,,Slash/Thrust,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,56,0,0,56,0,130,30,5,E,61,C,0,-,0,-,0,-,5,9,0,0,0,33.3,19.0,21.0,23.0,19.0,15,9.5,10.0,No,No,Yes,Yes,No,1000600,1,00,0600,20,10000,600,100,9,1,9
Sacred Dagger,Dagger,Sacred,Dagger,,Slash/Thrust,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,53,0,0,0,53,130,30,10,E,19,E,0,-,55,D,0,-,5,9,0,0,0,33.3,21.0,19.0,19.0,23.0,15,9.5,10.0,No,No,Yes,Yes,No,1000700,1,00,0700,20,10000,700,100,9,1,9
Magic Dagger,Dagger,Magic,Dagger,,Slash/Thrust,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,53,53,0,0,0,130,30,7,E,14,E,56,D,0,-,0,-,5,9,0,0,0,33.3,23.0,19.0,19.0,21.0,15,9.5,10.0,No,No,Yes,Yes,No,1000800,1,00,0800,20,10000,800,100,9,1,9
Cold Dagger,Dagger,Cold,Dagger,,Slash/Thrust,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",Causes frost buildup (66),-,-,Quickstep,3,1.5,100,130,60,51,0,0,0,130,30,31,D,58,D,52,D,0,-,0,-,5,9,0,0,0,33.3,20.0,20.0,20.0,20.0,15,10.0,10.0,No,No,Yes,Yes,No,1000900,1,00,0900,20,10000,900,100,9,1,9
Poison Dagger,Dagger,Poison,Dagger,,Slash/Thrust,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",Causes poison buildup (66),-,-,Quickstep,3,1.5,100,130,60,0,0,0,0,130,30,33,D,61,C,0,-,0,-,30,D,5,9,0,0,0,33.3,20.0,20.0,20.0,20.0,15,10.0,10.0,No,No,Yes,Yes,No,1001000,1,00,1000,20,10000,1000,100,9,1,9
Blood Dagger,Dagger,Blood,Dagger,,Slash/Thrust,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",Causes blood loss buildup (57),-,-,Quickstep,3,1.5,100,130,60,0,0,0,0,130,30,33,D,61,C,0,-,0,-,30,D,5,9,0,0,0,33.3,20.0,20.0,20.0,20.0,15,10.0,10.0,No,No,Yes,Yes,No,1001100,1,00,1100,20,10000,1100,100,9,1,9
Occult Dagger,Dagger,Occult,Dagger,,Slash/Thrust,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,63,0,0,0,0,130,30,11,E,20,E,0,-,0,-,85,C,5,9,0,0,0,35.0,20.0,20.0,20.0,20.0,15,10.0,10.0,No,No,Yes,Yes,No,1001200,1,00,1200,20,10000,1200,100,9,1,9
Black Knife,Black Knife,-,Dagger,,Slash/Thrust,Dagger once belonging to one of the assassins who murdered Godwyn the Golden on the Night of the Black Knives. A ritual performed on the oddly misshapen blade imbued it with the power of the stolen Rune of Death.,-,-,-,Blade of Death,25,2,100,160,66,0,0,0,65,110,28,10,E,55,D,0,-,35,D,0,-,8,12,0,18,0,26.0,15.0,15.0,15.0,42.0,15,10.0,10.0,No,No,Yes,Yes,No,1010000,1,01,0000,20,10001,2200,101,9,1.11,9.99
