ID,Name,Reinforce Type ID,Physical Attack,Magic Attack,Fire Attack,Lightning Attack,Holy Attack,Stamina Attack,Str Scaling,Dex Scaling,Int Scaling,Fai Scaling,Arc Scaling,Physical Guard,Magic Guard,Fire Guard,Lightning Guard,Holy Guard,Guard Boost,Resistance Guard,Upgrade Price,Effect 1,Effect 1 Type,Effect 2,Effect 2 Type,Max Upgrade,Attack Element Correct ID,Weapon Type,Physical Damage Type,Weight,Attack Power (Critical),Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Infusable,Base Poise Attack,Caption
1000000,Dagger,0,74,0,0,0,0,30,35,65,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,130,5,9,0,0,0,Yes,3,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits."
1000100,Heavy Dagger,100,71,0,0,0,0,30,55,0,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,130,5,9,0,0,0,Yes,3,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits."
1000200,Keen Dagger,5000,71,0,0,0,0,30,20,70,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,130,5,9,0,0,0,Yes,3,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits."
1000300,Quality Dagger,300,71,0,0,0,0,30,63,63,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,130,5,9,0,0,0,Yes,3,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits."
1000400,Fire Dagger,400,71,0,71,0,0,30,47,10,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,25,10005,Dagger,Slash/Pierce,1.5,130,5,9,0,0,0,Yes,3,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits."
1000500,Flame Art Dagger,500,71,0,71,0,0,30,10,19,0,55,0,35,20,20,20,20,15,10,130,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,130,5,9,0,0,0,Yes,3,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits."
1000600,Lightning Dagger,600,71,0,0,71,0,30,10,47,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,130,5,9,0,0,0,Yes,3,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits."
1000700,Sacred Dagger,700,71,0,0,0,71,30,10,19,0,55,0,35,20,20,20,20,15,10,130,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,130,5,9,0,0,0,Yes,3,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits."
1000800,Magic Dagger,800,71,71,0,0,0,30,10,19,56,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,130,5,9,0,0,0,Yes,3,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits."
1000900,Cold Dagger,900,71,60,0,0,0,30,31,58,52,0,0,35,20,20,20,20,15,10,130,-1,None,107500,Frost,25,10000,Dagger,Slash/Pierce,1.5,130,5,9,0,0,0,Yes,3,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits."
1001000,Poison Dagger,1000,71,0,0,0,0,30,33,61,0,0,30,35,20,20,20,20,15,10,130,-1,None,106000,Poison,25,10013,Dagger,Slash/Pierce,1.5,130,5,9,0,0,0,Yes,3,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits."
1001100,Blood Dagger,1100,71,0,0,0,0,30,33,61,0,0,30,35,20,20,20,20,15,10,130,105000,Blood,-1,None,25,10013,Dagger,Slash/Pierce,1.5,130,5,9,0,0,0,Yes,3,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits."
1001200,Occult Dagger,1200,71,0,0,0,0,30,14,26,0,0,85,35,20,20,20,20,15,10,130,-1,None,-1,None,25,10013,Dagger,Slash/Pierce,1.5,130,5,9,0,0,0,Yes,3,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits."
1010000,Black Knife,2200,66,0,0,0,65,28,10,55,0,35,0,26,15,15,15,42,15,10,160,-1,None,-1,None,10,10000,Dagger,Slash/Pierce,2,110,8,12,0,18,0,No,3,Dagger once belonging to one of the assassins who murdered Godwyn the Golden on the Night of the Black Knives. A ritual performed on the oddly misshapen blade imbued it with the power of the stolen Rune of Death.
1020000,Parrying Dagger,0,75,0,0,0,0,30,16,76,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,110,5,14,0,0,0,Yes,3,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need."
1020100,Heavy Parrying Dagger,100,72,0,0,0,0,30,55,0,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,110,5,14,0,0,0,Yes,3,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need."
1020200,Keen Parrying Dagger,5000,72,0,0,0,0,30,9,74,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,110,5,14,0,0,0,Yes,3,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need."
1020300,Quality Parrying Dagger,300,72,0,0,0,0,30,64,64,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,110,5,14,0,0,0,Yes,3,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need."
1020400,Fire Parrying Dagger,400,72,0,72,0,0,30,46,9,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,25,10005,Dagger,Slash/Pierce,1.5,110,5,14,0,0,0,Yes,3,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need."
1020500,Flame Art Parrying Dagger,500,72,0,72,0,0,30,4,22,0,50,0,35,20,20,20,20,15,10,130,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,110,5,14,0,0,0,Yes,3,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need."
1020600,Lightning Parrying Dagger,600,72,0,0,72,0,30,9,46,0,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,110,5,14,0,0,0,Yes,3,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need."
1020700,Sacred Parrying Dagger,700,72,0,0,0,72,30,4,22,0,50,0,35,20,20,20,20,15,10,130,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,110,5,14,0,0,0,Yes,3,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need."
1020800,Magic Parrying Dagger,800,72,72,0,0,0,30,4,22,55,0,0,35,20,20,20,20,15,10,130,-1,None,-1,None,25,10000,Dagger,Slash/Pierce,1.5,110,5,14,0,0,0,Yes,3,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need."
1020900,Cold Parrying Dagger,900,72,61,0,0,0,30,14,68,41,0,0,35,20,20,20,20,15,10,130,-1,None,107500,Frost,25,10000,Dagger,Slash/Pierce,1.5,110,5,14,0,0,0,Yes,3,"A knife with curved handguards. Designed to parry, turning foes' attacks against them. For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need."
