Name,Weapon Name,Affinity,Weapon Type,Icon,Physical Damage Type,Caption,Passive Effect 1,Passive Effect 2,Hidden Effect,Default Ash of War,Default Ash of War FP Cost,Weight,Sell Price,Upgrade Price,Attack Power (Critical),Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Physical Damage (Standard),Physical Damage (Strike),Physical Damage (Slash),Physical Damage (Pierce),Infusable,Can Enchant,Obtainable,ID,Weapon Group ID,Weapon ID,Imbue Type ID,Weapon Moveset Category,Magic Effect Category,SpEffect ID,Icon ID,Reinforce Type ID,Behavior Variation ID,AtkParam ID,Base Stamina Cost,Stamina Usage %,multiplied
Dagger,Dagger,Standard,Dagger,,Slash/Pierce,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,1000000,1,00,0000,20,-,-1,10000,0,100,100000,9,1,9
Heavy Dagger,Dagger,Heavy,Dagger,,Slash/Pierce,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,1000100,1,00,0100,20,-,-1,10000,100,100,100000,9,1,9
Keen Dagger,Dagger,Keen,Dagger,,Slash/Pierce,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,1000200,1,00,0200,20,-,-1,10000,5000,100,100000,9,1,9
Quality Dagger,Dagger,Quality,Dagger,,Slash/Pierce,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,Yes,Yes,1000300,1,00,0300,20,-,-1,10000,300,100,100000,9,1,9
Fire Dagger,Dagger,Fire,Dagger,,Slash/Pierce,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1000400,1,00,0400,20,-,-1,10000,400,100,100000,9,1,9
Flame Art Dagger,Dagger,Flame Art,Dagger,,Slash/Pierce,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1000500,1,00,0500,20,-,-1,10000,500,100,100000,9,1,9
Lightning Dagger,Dagger,Lightning,Dagger,,Slash/Pierce,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1000600,1,00,0600,20,-,-1,10000,600,100,100000,9,1,9
Sacred Dagger,Dagger,Sacred,Dagger,,Slash/Pierce,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1000700,1,00,0700,20,-,-1,10000,700,100,100000,9,1,9
Magic Dagger,Dagger,Magic,Dagger,,Slash/Pierce,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1000800,1,00,0800,20,-,-1,10000,800,100,100000,9,1,9
Cold Dagger,Dagger,Cold,Dagger,,Slash/Pierce,"A standard dagger with a straight blade. Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",Causes frost buildup (66),-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,No,Yes,1000900,1,00,0900,20,-,-1,10000,900,100,100000,9,1,9
