ID,Name,Reinforce Type ID,Phys,Mag,Fire,Ligh,Holy,Stability,Resist,Phys +1,Mag +1,Fire +1,Ligh +1,Holy +1,Stability +1,Resist +1,Phys +2,Mag +2,Fire +2,Ligh +2,Holy +2,Stability +2,Resist +2,Phys +3,Mag +3,Fire +3,Ligh +3,Holy +3,Stability +3,Resist +3,Phys +4,Mag +4,Fire +4,Ligh +4,Holy +4,Stability +4,Resist +4,Phys +5,Mag +5,Fire +5,Ligh +5,Holy +5,Stability +5,Resist +5,Phys +6,Mag +6,Fire +6,Ligh +6,Holy +6,Stability +6,Resist +6,Phys +7,Mag +7,Fire +7,Ligh +7,Holy +7,Stability +7,Resist +7,Phys +8,Mag +8,Fire +8,Ligh +8,Holy +8,Stability +8,Resist +8,Phys +9,Mag +9,Fire +9,Ligh +9,Holy +9,Stability +9,Resist +9,Phys +10,Mag +10,Fire +10,Ligh +10,Holy +10,Stability +10,Resist +10,Phys +11,Mag +11,Fire +11,Ligh +11,Holy +11,Stability +11,Resist +11,Phys +12,Mag +12,Fire +12,Ligh +12,Holy +12,Stability +12,Resist +12,Phys +13,Mag +13,Fire +13,Ligh +13,Holy +13,Stability +13,Resist +13,Phys +14,Mag +14,Fire +14,Ligh +14,Holy +14,Stability +14,Resist +14,Phys +15,Mag +15,Fire +15,Ligh +15,Holy +15,Stability +15,Resist +15,Phys +16,Mag +16,Fire +16,Ligh +16,Holy +16,Stability +16,Resist +16,Phys +17,Mag +17,Fire +17,Ligh +17,Holy +17,Stability +17,Resist +17,Phys +18,Mag +18,Fire +18,Ligh +18,Holy +18,Stability +18,Resist +18,Phys +19,Mag +19,Fire +19,Ligh +19,Holy +19,Stability +19,Resist +19,Phys +20,Mag +20,Fire +20,Ligh +20,Holy +20,Stability +20,Resist +20,Phys +21,Mag +21,Fire +21,Ligh +21,Holy +21,Stability +21,Resist +21,Phys +22,Mag +22,Fire +22,Ligh +22,Holy +22,Stability +22,Resist +22,Phys +23,Mag +23,Fire +23,Ligh +23,Holy +23,Stability +23,Resist +23,Phys +24,Mag +24,Fire +24,Ligh +24,Holy +24,Stability +24,Resist +24,Phys +25,Mag +25,Fire +25,Ligh +25,Holy +25,Stability +25,Resist +25
1000000,Dagger,0,35,20,20,20,20,15,10,35,20,20,20,20,15.15,10,35,20,20,20,20,15.3,10,35,20,20,20,20,15.45,10,35,20,20,20,20,15.6,10,35,20,20,20,20,15.75,10,35,20,20,20,20,15.9,10,35,20,20,20,20,16.05,10,35,20,20,20,20,16.2,10,35,20,20,20,20,16.35,10,35,20,20,20,20,16.5,10,35,20,20,20,20,16.65,10,35,20,20,20,20,16.8,10,35,20,20,20,20,16.95,10,35,20,20,20,20,17.1,10,35,20,20,20,20,17.25,10,35,20,20,20,20,17.4,10,35,20,20,20,20,17.4,10,35,20,20,20,20,17.55,10,35,20,20,20,20,17.55,10,35,20,20,20,20,17.7,10,35,20,20,20,20,17.7,10,35,20,20,20,20,17.7,10,35,20,20,20,20,17.85,10,35,20,20,20,20,17.85,10,35,20,20,20,20,18,10
1000100,Heavy Dagger,100,35,20,20,20,20,15,10,35,20,20,20,20,15.15,10,35,20,20,20,20,15.15,10,35,20,20,20,20,15.3,10,35,20,20,20,20,15.3,10,35,20,20,20,20,15.45,10,35,20,20,20,20,15.45,10,35,20,20,20,20,15.6,10,35,20,20,20,20,15.6,10,35,20,20,20,20,15.6,10,35,20,20,20,20,15.75,10,35,20,20,20,20,15.75,10,35,20,20,20,20,15.75,10,35,20,20,20,20,15.9,10,35,20,20,20,20,15.9,10,35,20,20,20,20,15.9,10,35,20,20,20,20,16.05,10,35,20,20,20,20,16.05,10,35,20,20,20,20,16.05,10,35,20,20,20,20,16.2,10,35,20,20,20,20,16.2,10,35,20,20,20,20,16.2,10,35,20,20,20,20,16.35,10,35,20,20,20,20,16.35,10,35,20,20,20,20,16.35,10,35,20,20,20,20,16.5,10
1000200,Keen Dagger,5000,35,20,20,20,20,15,10,35,20,20,20,20,15.15,10,35,20,20,20,20,15.15,10,35,20,20,20,20,15.3,10,35,20,20,20,20,15.3,10,35,20,20,20,20,15.45,10,35,20,20,20,20,15.45,10,35,20,20,20,20,15.6,10,35,20,20,20,20,15.6,10,35,20,20,20,20,15.6,10,35,20,20,20,20,15.75,10,35,20,20,20,20,15.75,10,35,20,20,20,20,15.75,10,35,20,20,20,20,15.9,10,35,20,20,20,20,15.9,10,35,20,20,20,20,15.9,10,35,20,20,20,20,16.05,10,35,20,20,20,20,16.05,10,35,20,20,20,20,16.05,10,35,20,20,20,20,16.2,10,35,20,20,20,20,16.2,10,35,20,20,20,20,16.2,10,35,20,20,20,20,16.35,10,35,20,20,20,20,16.35,10,35,20,20,20,20,16.35,10,35,20,20,20,20,16.5,10
1000300,Quality Dagger,300,35,20,20,20,20,15,10,35,20,20,20,20,15.15,10,35,20,20,20,20,15.15,10,35,20,20,20,20,15.3,10,35,20,20,20,20,15.3,10,35,20,20,20,20,15.45,10,35,20,20,20,20,15.45,10,35,20,20,20,20,15.6,10,35,20,20,20,20,15.6,10,35,20,20,20,20,15.6,10,35,20,20,20,20,15.75,10,35,20,20,20,20,15.75,10,35,20,20,20,20,15.75,10,35,20,20,20,20,15.9,10,35,20,20,20,20,15.9,10,35,20,20,20,20,15.9,10,35,20,20,20,20,16.05,10,35,20,20,20,20,16.05,10,35,20,20,20,20,16.05,10,35,20,20,20,20,16.2,10,35,20,20,20,20,16.2,10,35,20,20,20,20,16.2,10,35,20,20,20,20,16.35,10,35,20,20,20,20,16.35,10,35,20,20,20,20,16.35,10,35,20,20,20,20,16.5,10
1000400,Fire Dagger,400,33.25,19,23,21,19,15,9.5,33.25,19,23,21,19,15,9.5,33.25,19,23.2,21.2,19,15,9.5,33.25,19,23.2,21.2,19,15,9.5,33.25,19,23.4,21.4,19,15,9.5,33.25,19,23.4,21.4,19,15,9.5,33.25,19,23.6,21.6,19,15,9.5,33.25,19,23.6,21.6,19,15,9.5,33.25,19,23.8,21.8,19,15,9.5,33.25,19,23.8,21.8,19,15,9.5,33.25,19,24,22,19,15,9.5,33.25,19,24,22,19,15,9.5,33.25,19,24.2,22.2,19,15,9.5,33.25,19,24.2,22.2,19,15,9.5,33.25,19,24.2,22.2,19,15,9.5,33.25,19,24.4,22.4,19,15,9.5,33.25,19,24.4,22.4,19,15,9.5,33.25,19,24.4,22.4,19,15,9.5,33.25,19,24.6,22.6,19,15,9.5,33.25,19,24.6,22.6,19,15,9.5,33.25,19,24.6,22.6,19,15,9.5,33.25,19,24.8,22.8,19,15,9.5,33.25,19,24.8,22.8,19,15,9.5,33.25,19,24.8,22.8,19,15,9.5,33.25,19,24.8,22.8,19,15,9.5,33.25,19,25,23,19,15,9.5
1000500,Flame Art Dagger,500,33.25,19,23,21,19,15,9.5,33.25,19,23,21,19,15,9.5,33.25,19,23.2,21.2,19,15,9.5,33.25,19,23.2,21.2,19,15,9.5,33.25,19,23.4,21.4,19,15,9.5,33.25,19,23.4,21.4,19,15,9.5,33.25,19,23.6,21.6,19,15,9.5,33.25,19,23.6,21.6,19,15,9.5,33.25,19,23.8,21.8,19,15,9.5,33.25,19,23.8,21.8,19,15,9.5,33.25,19,24,22,19,15,9.5,33.25,19,24,22,19,15,9.5,33.25,19,24.2,22.2,19,15,9.5,33.25,19,24.2,22.2,19,15,9.5,33.25,19,24.2,22.2,19,15,9.5,33.25,19,24.4,22.4,19,15,9.5,33.25,19,24.4,22.4,19,15,9.5,33.25,19,24.4,22.4,19,15,9.5,33.25,19,24.6,22.6,19,15,9.5,33.25,19,24.6,22.6,19,15,9.5,33.25,19,24.6,22.6,19,15,9.5,33.25,19,24.8,22.8,19,15,9.5,33.25,19,24.8,22.8,19,15,9.5,33.25,19,24.8,22.8,19,15,9.5,33.25,19,24.8,22.8,19,15,9.5,33.25,19,25,23,19,15,9.5
1000600,Lightning Dagger,600,33.25,19,21,23,19,15,9.5,33.25,19,21,23,19,15,9.5,33.25,19,21.2,23.2,19,15,9.5,33.25,19,21.2,23.2,19,15,9.5,33.25,19,21.4,23.4,19,15,9.5,33.25,19,21.4,23.4,19,15,9.5,33.25,19,21.6,23.6,19,15,9.5,33.25,19,21.6,23.6,19,15,9.5,33.25,19,21.8,23.8,19,15,9.5,33.25,19,21.8,23.8,19,15,9.5,33.25,19,22,24,19,15,9.5,33.25,19,22,24,19,15,9.5,33.25,19,22.2,24.2,19,15,9.5,33.25,19,22.2,24.2,19,15,9.5,33.25,19,22.2,24.2,19,15,9.5,33.25,19,22.4,24.4,19,15,9.5,33.25,19,22.4,24.4,19,15,9.5,33.25,19,22.4,24.4,19,15,9.5,33.25,19,22.6,24.6,19,15,9.5,33.25,19,22.6,24.6,19,15,9.5,33.25,19,22.6,24.6,19,15,9.5,33.25,19,22.8,24.8,19,15,9.5,33.25,19,22.8,24.8,19,15,9.5,33.25,19,22.8,24.8,19,15,9.5,33.25,19,22.8,24.8,19,15,9.5,33.25,19,23,25,19,15,9.5
1000700,Sacred Dagger,700,33.25,21,19,19,23,15,9.5,33.25,21,19,19,23,15,9.5,33.25,21.2,19,19,23.2,15,9.5,33.25,21.2,19,19,23.2,15,9.5,33.25,21.4,19,19,23.4,15,9.5,33.25,21.4,19,19,23.4,15,9.5,33.25,21.6,19,19,23.6,15,9.5,33.25,21.6,19,19,23.6,15,9.5,33.25,21.8,19,19,23.8,15,9.5,33.25,21.8,19,19,23.8,15,9.5,33.25,22,19,19,24,15,9.5,33.25,22,19,19,24,15,9.5,33.25,22.2,19,19,24.2,15,9.5,33.25,22.2,19,19,24.2,15,9.5,33.25,22.2,19,19,24.2,15,9.5,33.25,22.4,19,19,24.4,15,9.5,33.25,22.4,19,19,24.4,15,9.5,33.25,22.4,19,19,24.4,15,9.5,33.25,22.6,19,19,24.6,15,9.5,33.25,22.6,19,19,24.6,15,9.5,33.25,22.6,19,19,24.6,15,9.5,33.25,22.8,19,19,24.8,15,9.5,33.25,22.8,19,19,24.8,15,9.5,33.25,22.8,19,19,24.8,15,9.5,33.25,22.8,19,19,24.8,15,9.5,33.25,23,19,19,25,15,9.5
1000800,Magic Dagger,800,33.25,23,19,19,21,15,9.5,33.25,23,19,19,21,15,9.5,33.25,23.2,19,19,21.2,15,9.5,33.25,23.2,19,19,21.2,15,9.5,33.25,23.4,19,19,21.4,15,9.5,33.25,23.4,19,19,21.4,15,9.5,33.25,23.6,19,19,21.6,15,9.5,33.25,23.6,19,19,21.6,15,9.5,33.25,23.8,19,19,21.8,15,9.5,33.25,23.8,19,19,21.8,15,9.5,33.25,24,19,19,22,15,9.5,33.25,24,19,19,22,15,9.5,33.25,24.2,19,19,22.2,15,9.5,33.25,24.2,19,19,22.2,15,9.5,33.25,24.2,19,19,22.2,15,9.5,33.25,24.4,19,19,22.4,15,9.5,33.25,24.4,19,19,22.4,15,9.5,33.25,24.4,19,19,22.4,15,9.5,33.25,24.6,19,19,22.6,15,9.5,33.25,24.6,19,19,22.6,15,9.5,33.25,24.6,19,19,22.6,15,9.5,33.25,24.8,19,19,22.8,15,9.5,33.25,24.8,19,19,22.8,15,9.5,33.25,24.8,19,19,22.8,15,9.5,33.25,24.8,19,19,22.8,15,9.5,33.25,25,19,19,23,15,9.5
1000900,Cold Dagger,900,33.25,21,19,19,19,15,9.5,33.25,21,19,19,19,15,9.5,33.25,21.2,19,19,19,15,9.5,33.25,21.2,19,19,19,15,9.5,33.25,21.4,19,19,19,15,9.5,33.25,21.4,19,19,19,15,9.5,33.25,21.6,19,19,19,15,9.5,33.25,21.6,19,19,19,15,9.5,33.25,21.8,19,19,19,15,9.5,33.25,21.8,19,19,19,15,9.5,33.25,21.8,19,19,19,15,9.5,33.25,22,19,19,19,15,9.5,33.25,22,19,19,19,15,9.5,33.25,22,19,19,19,15,9.5,33.25,22.2,19,19,19,15,9.5,33.25,22.2,19,19,19,15,9.5,33.25,22.4,19,19,19,15,9.5,33.25,22.4,19,19,19,15,9.5,33.25,22.4,19,19,19,15,9.5,33.25,22.6,19,19,19,15,9.5,33.25,22.6,19,19,19,15,9.5,33.25,22.6,19,19,19,15,9.5,33.25,22.8,19,19,19,15,9.5,33.25,22.8,19,19,19,15,9.5,33.25,22.8,19,19,19,15,9.5,33.25,23,19,19,19,15,9.5
