NPC ID,ItemLot_Enemy ID,Name,Location #1,Model Mask Flags (Hex),Items Drop 1,Item Chance 1,Item Drop 2,Item Chance 2,Item Drop 3,Item Chance 3,Item Drop 4,Item Chance 4,Item Drop 5,Item Chance 5,Item Drop 6,Item Chance 6,Item Drop 7,Item Chance 7,Item Drop 8,Item Chance 8,Item Drop 9,Item Chance 9,Item Drop 10,Item Chance 10
0,-1,???,Unused,,None,,,,,,,,,,,,,,,,,,,
1,-1,???,Unused,,None,,,,,,,,,,,,,,,,,,,
100,-1,???,Unused,,None,,,,,,,,,,,,,,,,,,,
540,-1,???,Unused,,None,,,,,,,,,,,,,,,,,,,
541,-1,???,Unused,,None,,,,,,,,,,,,,,,,,,,
542,-1,???,Unused,,None,,,,,,,,,,,,,,,,,,,
1000,-1,???,Unused,,None,,,,,,,,,,,,,,,,,,,
9999,-1,???,Unused,,None,,,,,,,,,,,,,,,,,,,
1000000,-1,???,"Caelid - Fort Gael, Caelid Waypoint Ruins, Gaol Cave Entrance",,None,,,,,,,,,,,,,,,,,,,
1002000,-1,???,Siofra River - Boss,,None,,,,,,,,,,,,,,,,,,,
1100000,-1,???,West Liurnia,,None,,,,,,,,,,,,,,,,,,,
1200000,-1,???,Academy of Raya Lucaria,,None,,,,,,,,,,,,,,,,,,,
1200020,-1,???,Liurnia to Atlus Plateau,,None,,,,,,,,,,,,,,,,,,,
1200030,-1,???,North Atlus Plateau,,None,,,,,,,,,,,,,,,,,,,
1200041,-1,???,Caelid - Redmane Castle,,None,,,,,,,,,,,,,,,,,,,
1200100,-1,???,Liurnia of the Lakes - Road to the Manor,,None,,,,,,,,,,,,,,,,,,,
1300000,-1,???,Liurnia of the Lakes - Converted Tower,,None,,,,,,,,,,,,,,,,,,,
10000000,-1,???,Subterranean Shunning-Grounds,,None,,,,,,,,,,,,,,,,,,,
10000100,-1,???,Unused,,None,,,,,,,,,,,,,,,,,,,
10001000,-1,???,Stormveil Castle,,None,,,,,,,,,,,,,,,,,,,
10003000,-1,???,Southeast Caelid,,None,,,,,,,,,,,,,,,,,,,
10003100,-1,???,Stranded Graveyard,,None,,,,,,,,,,,,,,,,,,,
10004000,-1,???,Unused,,None,,,,,,,,,,,,,,,,,,,
10005000,-1,???,Roundtable Hold,,None,,,,,,,,,,,,,,,,,,,
10006000,-1,???,Unused,,None,,,,,,,,,,,,,,,,,,,
