Name,Weapon Name,Affinity,Weapon Type,Icon,Physical Damage Type,Caption,Passive Effect 1,Passive Effect 2,Hidden Effect,Default Weapon Skill,Default Weapon Skill FP Cost,Weight,Sell Price,Upgrade Price,Attack Power (Critical),Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Physical Damage (Standard),Physical Damage (Strike),Physical Damage (Slash),Physical Damage (Pierce),Infusable,Can Enchant,Achievement,Obtainable,ID,Weapon Group ID,Weapon ID,Affinity ID,Weapon Moveset Category,Magic Effect Category,SpEffect ID,Icon ID,Model ID,Reinforce Type ID,Behavior Variation ID,Sort Group Type ID,Sort Group ID,Sort ID
Dagger,Dagger,Standard,Dagger,,Slash/Pierce,"A standard dagger with a straight blade.

Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1000000,1,00,0000,20,-,-1,10000,100,0,100,1,10,1000000
Heavy Dagger,Dagger,Heavy,Dagger,,Slash/Pierce,"A standard dagger with a straight blade.

Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1000100,1,00,0100,20,-,-1,10000,100,100,100,1,10,1000001
Keen Dagger,Dagger,Keen,Dagger,,Slash/Pierce,"A standard dagger with a straight blade.

Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1000200,1,00,0200,20,-,-1,10000,100,5000,100,1,10,1000002
Quality Dagger,Dagger,Quality,Dagger,,Slash/Pierce,"A standard dagger with a straight blade.

Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1000300,1,00,0300,20,-,-1,10000,100,300,100,1,10,1000003
Magic Dagger,Dagger,Magic,Dagger,,Slash/Pierce,"A standard dagger with a straight blade.

Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1000800,1,00,0800,20,-,-1,10000,100,800,100,1,10,1000004
Fire Dagger,Dagger,Fire,Dagger,,Slash/Pierce,"A standard dagger with a straight blade.

Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1000400,1,00,0400,20,-,-1,10000,100,400,100,1,10,1000005
Flame Art Dagger,Dagger,Flame Art,Dagger,,Slash/Pierce,"A standard dagger with a straight blade.

Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1000500,1,00,0500,20,-,-1,10000,100,500,100,1,10,1000006
Lightning Dagger,Dagger,Lightning,Dagger,,Slash/Pierce,"A standard dagger with a straight blade.

Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1000600,1,00,0600,20,-,-1,10000,100,600,100,1,10,1000007
Sacred Dagger,Dagger,Sacred,Dagger,,Slash/Pierce,"A standard dagger with a straight blade.

Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1000700,1,00,0700,20,-,-1,10000,100,700,100,1,10,1000008
Poison Dagger,Dagger,Poison,Dagger,,Slash/Pierce,"A standard dagger with a straight blade.

Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",Causes poison buildup (),-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1001000,1,00,1000,20,-,-1,10000,100,1000,100,1,10,1000009
Blood Dagger,Dagger,Blood,Dagger,,Slash/Pierce,"A standard dagger with a straight blade.

Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",Causes blood loss buildup (),-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1001100,1,00,1100,20,-,-1,10000,100,1100,100,1,10,1000010
Cold Dagger,Dagger,Cold,Dagger,,Slash/Pierce,"A standard dagger with a straight blade.

Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",Causes frost buildup (),-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1000900,1,00,0900,20,-,-1,10000,100,900,100,1,10,1000011
Occult Dagger,Dagger,Occult,Dagger,,Slash/Pierce,"A standard dagger with a straight blade.

Though modest in reach and capacity for harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits.",-,-,-,Quickstep,3,1.5,100,130,130,5,9,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1001200,1,00,1200,20,-,-1,10000,100,1200,100,1,10,1000012
Parrying Dagger,Parrying Dagger,Standard,Dagger,,Slash/Pierce,"A knife with curved handguards.
Designed to parry, turning foes' attacks against them.

For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1020000,1,02,0000,20,-,-1,10002,102,0,100,1,10,1001000
Heavy Parrying Dagger,Parrying Dagger,Heavy,Dagger,,Slash/Pierce,"A knife with curved handguards.
Designed to parry, turning foes' attacks against them.

For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1020100,1,02,0100,20,-,-1,10002,102,100,100,1,10,1001001
Keen Parrying Dagger,Parrying Dagger,Keen,Dagger,,Slash/Pierce,"A knife with curved handguards.
Designed to parry, turning foes' attacks against them.

For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1020200,1,02,0200,20,-,-1,10002,102,5000,100,1,10,1001002
Quality Parrying Dagger,Parrying Dagger,Quality,Dagger,,Slash/Pierce,"A knife with curved handguards.
Designed to parry, turning foes' attacks against them.

For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,Yes,No,Yes,1020300,1,02,0300,20,-,-1,10002,102,300,100,1,10,1001003
Magic Parrying Dagger,Parrying Dagger,Magic,Dagger,,Slash/Pierce,"A knife with curved handguards.
Designed to parry, turning foes' attacks against them.

For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1020800,1,02,0800,20,-,-1,10002,102,800,100,1,10,1001004
Fire Parrying Dagger,Parrying Dagger,Fire,Dagger,,Slash/Pierce,"A knife with curved handguards.
Designed to parry, turning foes' attacks against them.

For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1020400,1,02,0400,20,-,-1,10002,102,400,100,1,10,1001005
Flame Art Parrying Dagger,Parrying Dagger,Flame Art,Dagger,,Slash/Pierce,"A knife with curved handguards.
Designed to parry, turning foes' attacks against them.

For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1020500,1,02,0500,20,-,-1,10002,102,500,100,1,10,1001006
Lightning Parrying Dagger,Parrying Dagger,Lightning,Dagger,,Slash/Pierce,"A knife with curved handguards.
Designed to parry, turning foes' attacks against them.

For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1020600,1,02,0600,20,-,-1,10002,102,600,100,1,10,1001007
Sacred Parrying Dagger,Parrying Dagger,Sacred,Dagger,,Slash/Pierce,"A knife with curved handguards.
Designed to parry, turning foes' attacks against them.

For masters of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need.",-,-,-,Parry,0,1.5,100,130,110,5,14,0,0,0,No,No,Yes,Yes,Yes,No,No,Yes,1020700,1,02,0700,20,-,-1,10002,102,700,100,1,10,1001008
