Name,Talisman Name,Icon,Info,Caption,Level,Weight,Sell Price,ID,Icon ID,Sort Group ID,Sort ID,Number of Completed Achievement ID,SpEffect ID [0],SpEffect ID [1],SpEffect ID [2],SpEffect ID [3],SpEffect ID [4]
Crimson Amber Medallion,Crimson Amber Medallion,,Raises maximum HP,"A medallion with crimson amber inlaid. Boosts maximum HP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",0,0.3,100,1000,18000,10,400000,-1,310000,0,0,0,0
Crimson Amber Medallion +1,Crimson Amber Medallion,,Greatly raises maximum HP,"A medallion with crimson amber inlaid. Greatly boosts maximum HP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",1,0.3,500,1001,18001,10,400010,-1,310010,0,0,0,0
Crimson Amber Medallion +2,Crimson Amber Medallion,,Vastly raises maximum HP,"A medallion with crimson amber inlaid. Vastly boosts maximum HP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",2,0.3,1000,1002,18002,10,400020,-1,310020,0,0,0,0
Crimson Seed Talisman,Crimson Seed Talisman,,Boosts HP restoration from Flask of Crimson Tears,"A crimson-colored talisman patterned after an Erdtree seed. Boosts HP restoration from the Flask of Crimson Tears. The Erdtree was once perfect and eternal, and thus was it believed that Erdtree seeds could not exist.",0,0.8,1000,5000,18610,10,400030,-1,350000,0,0,0,0
Blessed Dew Talisman,Blessed Dew Talisman,,Slowly restores HP,"Talisman depicting a drop of the Erdtree's sap, a blessed boon. Gradually restores HP. It was once thought that the blessed sap of the Erdtree would drip from its boughs forever—but that age of plenty swiftly came to a close, and with time, the Erdtree became more an object of faith.",0,0.6,1000,5020,18630,10,400040,-1,350200,0,0,0,0
Cerulean Amber Medallion,Cerulean Amber Medallion,,Raises maximum FP,"A medallion with cerulean amber inlaid. Boosts maximum FP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",0,0.3,100,1010,18010,10,400050,-1,310100,0,0,0,0
Cerulean Amber Medallion +1,Cerulean Amber Medallion,,Greatly raises maximum FP,"A medallion with cerulean amber inlaid. Greatly boosts maximum FP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",1,0.3,500,1011,18011,10,400060,-1,310110,0,0,0,0
Cerulean Amber Medallion +2,Cerulean Amber Medallion,,Vastly raises maximum FP,"A medallion with cerulean amber inlaid. Vastly boosts maximum FP. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",2,0.3,1000,1012,18012,10,400070,-1,310120,0,0,0,0
Cerulean Seed Talisman,Cerulean Seed Talisman,,Boosts FP restoration from Flask of Cerulean Tears,"A cerulean-colored talisman patterned after an Erdtree seed. Boosts FP restoration from the Flask of Cerulean Tears. The Erdtree was once perfect and eternal, and thus was it believed that Erdtree seeds could not exist.",0,0.8,1000,5010,18620,10,400080,-1,350100,0,0,0,0
Viridian Amber Medallion,Viridian Amber Medallion,,Raises maximum stamina,"A medallion with viridian amber inlaid. Boosts maximum stamina. The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord. A primordial life energy resides inside.",0,0.3,100,1020,18020,10,400090,-1,310200,0,0,0,0
